lr,seq_len,batch_size,best_epoch,train_rmse,val_rmse,test_rmse,test_mae,test_mape
0.001,24,32,301,2.4875068775030282,2.739776277114934,2.909241712638525,2.1628303040888266,0.040133525058854355
0.001,24,64,451,2.5136341890141436,2.7835365608451808,2.857499922985066,2.1080055838037026,0.03922031905545138
0.0001,3,16,1451,2.5507018374075323,2.8158733211599367,2.9082315940389343,2.1375486647621296,0.03957005640989833
0.0001,3,32,1451,2.5403928386975596,2.83455325914943,2.887740729818837,2.0808431116375328,0.03862448999077787
0.0001,3,64,1301,2.5465849537361556,2.8630351222072274,2.8984321141165004,2.093564115600055,0.038823998073871754
0.0001,6,16,701,2.5546651891207426,2.8351329298949532,2.9394379999125597,2.1447063267101725,0.03977956051853452
0.0001,6,32,701,2.5593071889869563,2.8339864393939256,2.94445185972224,2.158480460075935,0.03999312740922675
0.0001,6,64,951,2.5691313991793625,2.8261775254222785,2.9513687116851517,2.1779491754719023,0.04028912144688444
0.0001,9,16,851,2.5704122561562865,2.782437138337539,2.9352819411326414,2.1420483457403825,0.03967489317342773
0.0001,9,32,1351,2.562889269250362,2.792310388227497,2.903113159724625,2.094188300360023,0.038877206206714914
0.0001,9,64,1351,2.5791698169585056,2.809023530178902,2.9285265770065156,2.139725003064978,0.039638648900991266
0.0001,12,16,851,2.5595348067546175,2.7806086531948995,2.8381391362966144,2.0717758701148785,0.0385034373881396
0.0001,12,32,1401,2.5576923589088207,2.736105478901542,2.878291410351472,2.1476043160666096,0.0397698730762739
0.0001,12,64,1401,2.590257423186576,2.8091987084192955,2.9346517780519386,2.1488710001795117,0.03980377519393905
0.0001,15,16,1301,2.39752113803892,2.771856840239821,3.031008085790151,2.1998358774348516,0.04097360054906831
0.0001,15,32,1401,2.5488842949144495,2.7928428556820393,2.9326313435717393,2.168238821351991,0.04014341081765402
0.0001,15,64,1401,2.552901917553207,2.812961412023438,2.93463690301808,2.1478091235428076,0.039777640182317615
0.0001,18,16,1351,2.343856993169187,2.6732051834145674,2.977247027482546,2.1444862574806316,0.040064235609833895
0.0001,18,32,1201,2.577665205168639,2.7944758478092044,3.029387773422727,2.271179421045948,0.04188257960557508
0.0001,18,64,1201,2.5753964350587597,2.809624225612375,3.0188039390159105,2.2459856694556195,0.04141091157325065
0.0001,21,16,1301,2.4586865486316567,2.7057473850360405,2.908447087415816,2.1518880403198835,0.03998650802199707
0.0001,21,32,1201,2.541708075913783,2.808583600746595,2.924052610729651,2.1341975009302554,0.03959275711685804
0.0001,21,64,1201,2.539457178287767,2.832230967978286,2.9057771654871454,2.098322643075265,0.03897848630629991
0.0001,24,16,1251,2.4835418529818067,2.734624587238174,2.895605839252969,2.1577433922371143,0.040009168479902636
0.0001,24,32,1151,2.5531045498369753,2.8167657122166183,2.906501889627422,2.1077849562734348,0.03915010528588413
0.0001,24,64,1151,2.5531425407606916,2.8400149826005525,2.892871126010876,2.0841367372651662,0.03874813616621312
